"June","Sept","JuneCen","SeptCen"
0.3799999952,2.660000086,FALSE,FALSE
0.03999999911,0.6299999952,FALSE,FALSE
0.00999999978,0.5899999738,TRUE,FALSE
0.02999999933,0.05000000075,FALSE,FALSE
0.02999999933,0.8399999738,FALSE,FALSE
0.05000000075,0.5799999833,FALSE,FALSE
0.01999999955,0.01999999955,FALSE,FALSE
0.00999999978,0.00999999978,TRUE,TRUE
0.00999999978,0.00999999978,TRUE,TRUE
0.00999999978,0.00999999978,TRUE,TRUE
0.1099999994,0.09000000358,FALSE,FALSE
0.09000000358,0.3100000024,FALSE,FALSE
0.00999999978,0.01999999955,TRUE,FALSE
0.00999999978,0.00999999978,TRUE,TRUE
0.00999999978,0.5,TRUE,FALSE
0.00999999978,0.02999999933,TRUE,FALSE
0.01999999955,0.09000000358,FALSE,FALSE
0.02999999933,0.05999999866,FALSE,FALSE
0.01999999955,0.02999999933,FALSE,FALSE
0.01999999955,0.00999999978,FALSE,TRUE
0.05000000075,0.1000000015,FALSE,FALSE
0.02999999933,0.25,FALSE,FALSE
0.05000000075,0.02999999933,FALSE,FALSE
0.00999999978,88.36000061,TRUE,FALSE
